"DRG.Definition","Provider.Id","Provider.Name","Provider.Street.Address","Provider.City","Provider.State","Provider.Zip.Code","Hospital.Referral.Region..HRR..Description","Total.Discharges","Average.Covered.Charges","Average.Total.Payments","Average.Medicare.Payments","DRG.Code","Comb.DRG","MORT","READM","Lat","Long"
"1","291 - HEART FAILURE & SHOCK W MCC","330277","CORNING HOSPITAL","1 GUTHRIE DRIVE","CORNING","NY","14830","PA - Sayre","50","20975.3","8789.92","7916.58","291","HF","10.4","27.4","42.136107","-76.969841"
"2","291 - HEART FAILURE & SHOCK W MCC","330279","MERCY HOSPITAL","565 ABBOTT ROAD","BUFFALO","NY","14220","NY - Buffalo","81","18965.80247","10092.46914","8968.530864","291","HF","15.1","20.5","42.847875","-78.811876"
"3","292 - HEART FAILURE & SHOCK W CC","330191","GLENS FALLS HOSPITAL","100 PARK STREET","GLENS FALLS","NY","12801","NY - Albany","95","17850.97895","5875.863158","4983.168421","292","HF","12.4","21.1","43.308335","-73.644551"
"4","291 - HEART FAILURE & SHOCK W MCC","330003","ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY","NY","12204","NY - Albany","30","21492.96667","8558.266667","7205.666667","291","HF","14.2","21.0","42.673539","-73.750281"
"5","291 - HEART FAILURE & SHOCK W MCC","330004","HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS","396 BROADWAY","KINGSTON","NY","12401","NY - Albany","66","40726.06061","9738.818182","8695.69697","291","HF","12.8","23.8","41.92651","-73.995902"
"6","291 - HEART FAILURE & SHOCK W MCC","330005","KALEIDA HEALTH","726 EXCHANGE STREET, SUITE 522","BUFFALO","NY","14210","NY - Buffalo","211","23896.45972","13222.29384","11250.77251","291","HF","12.2","20.8","42.87459","-78.850067"
"7","291 - HEART FAILURE & SHOCK W MCC","330006","ST JOSEPH'S MEDICAL CENTER","127 SOUTH BROADWAY","YONKERS","NY","10701","NY - White Plains","45","17846.6","14402.97778","12920.55556","291","HF","11.6","22.8","40.929614","-73.897003"
"8","291 - HEART FAILURE & SHOCK W MCC","330009","BRONX-LEBANON HOSPITAL CENTER","1276 FULTON AVENUE","BRONX","NY","10456","NY - Bronx","46","17548.21739","26085.13043","24164.71739","291","HF","10.4","26.1","40.83175","-73.903756"
"9","291 - HEART FAILURE & SHOCK W MCC","330011","OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC","169 RIVERSIDE DRIVE","BINGHAMTON","NY","13905","NY - Binghamton","102","15784.85294","8817.705882","8031.627451","291","HF","13.2","22.6","42.09264","-75.935558"
"10","291 - HEART FAILURE & SHOCK W MCC","330013","ALBANY MEDICAL CENTER HOSPITAL","43 NEW SCOTLAND AVENUE","ALBANY","NY","12208","NY - Albany","63","67131.49206","16272.42857","13677.30159","291","HF","10.3","23.7","42.653254","-73.77386"
